Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.49     0.00  2531225     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      1.49     0.00  2036005     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      1.49     0.00  2026981     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      1.49     0.00  2022880     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      1.49     0.00  2021005     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      1.49     0.00  2021005     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      1.49     0.00  2021005     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      1.49     0.00  2021005     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      1.49     0.00  2021005     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      1.49     0.00  2018380     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.49     0.00  2018005     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      1.49     0.00  2018005     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      1.49     0.00  1966875     0.00     0.00  std::_Rb_tree_iterator<std::array<int, 2ul> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      1.49     0.00  1939546     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      1.49     0.00  1939546     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      1.49     0.00  1939546     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00      1.49     0.00  1939546     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      1.49     0.00  1939546     0.00     0.00  std::vector<int, std::allocator<int> >::pop_back()
  0.00      1.49     0.00  1939546     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      1.49     0.00  1887780     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      1.49     0.00  1887780     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      1.49     0.00  1750560     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      1.49     0.00  1650000     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.49     0.00  1556535     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      1.49     0.00  1519785     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      1.49     0.00  1513785     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      1.49     0.00  1513785     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      1.49     0.00  1513785     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      1.49     0.00  1513785     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      1.49     0.00  1513785     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      1.49     0.00  1513785     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      1.49     0.00  1513785     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.49     0.00  1513785     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.49     0.00  1513785     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      1.49     0.00  1492020     0.00     0.00  std::__array_traits<std::array<int, 2ul>, 20ul>::_S_ref(std::array<int, 2ul> const (&) [20], unsigned long)
  0.00      1.49     0.00  1492020     0.00     0.00  std::array<std::array<int, 2ul>, 20ul>::operator[](unsigned long)
  0.00      1.49     0.00  1488375     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_end()
  0.00      1.49     0.00  1427625     0.00     0.00  std::_Identity<std::array<int, 2ul> >::operator()(std::array<int, 2ul>&) const
  0.00      1.49     0.00  1377934     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      1.49     0.00  1365750     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      1.49     0.00  1275750     0.00     0.00  __gnu_cxx::__aligned_membuf<std::array<int, 2ul> >::_M_ptr()
  0.00      1.49     0.00  1275750     0.00     0.00  __gnu_cxx::__aligned_membuf<std::array<int, 2ul> >::_M_addr()
  0.00      1.49     0.00  1275750     0.00     0.00  std::_Rb_tree_node<std::array<int, 2ul> >::_M_valptr()
  0.00      1.49     0.00  1011440     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.00      1.49     0.00  1009190     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator++()
  0.00      1.49     0.00  1009190     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const
  0.00      1.49     0.00  1009190     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      1.49     0.00  1008440     0.00     0.00  int const* std::__miter_base<int const*>(int const*)
  0.00      1.49     0.00   943890     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      1.49     0.00   943890     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data&&)
  0.00      1.49     0.00   943890     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(std::_Vector_base<int, std::allocator<int> >&&)
  0.00      1.49     0.00   943890     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::destroy<std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*)
  0.00      1.49     0.00   943890     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<int, std::allocator<int> > > >::construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > >(std::allocator<std::vector<int, std::allocator<int> > >&, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >&&)
  0.00      1.49     0.00   943890     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> >&&)
  0.00      1.49     0.00   943890     0.00     0.00  void std::__relocate_object_a<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      1.49     0.00   943890     0.00     0.00  std::remove_reference<std::vector<int, std::allocator<int> >&>::type&& std::move<std::vector<int, std::allocator<int> >&>(std::vector<int, std::allocator<int> >&)
  0.00      1.49     0.00   911625     0.00     0.00  std::_Rb_tree_const_iterator<std::array<int, 2ul> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::array<int, 2ul> > const&)
  0.00      1.49     0.00   884520     0.00     0.00  std::__array_traits<int, 2ul>::_S_ref(int const (&) [2], unsigned long)
  0.00      1.49     0.00   884520     0.00     0.00  std::array<int, 2ul>::operator[](unsigned long)
  0.00      1.49     0.00   880875     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_mbegin() const
  0.00      1.49     0.00   880875     0.00     0.00  std::_Rb_tree_iterator<std::array<int, 2ul> >&& std::forward<std::_Rb_tree_iterator<std::array<int, 2ul> > >(std::remove_reference<std::_Rb_tree_iterator<std::array<int, 2ul> > >::type&)
  0.00      1.49     0.00   850500     0.00     0.00  std::remove_reference<std::array<int, 2ul>&>::type&& std::move<std::array<int, 2ul>&>(std::array<int, 2ul>&)
  0.00      1.49     0.00   850500     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      1.49     0.00   844156     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      1.49     0.00   820125     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<std::array<int, 2ul> >, bool>::pair<std::_Rb_tree_iterator<std::array<int, 2ul> >&, bool&, true>(std::_Rb_tree_iterator<std::array<int, 2ul> >&, bool&)
  0.00      1.49     0.00   820125     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::array<int, 2ul> >, bool> std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_insert_unique<std::array<int, 2ul> >(std::array<int, 2ul>&&)
  0.00      1.49     0.00   820125     0.00     0.00  std::_Rb_tree_iterator<std::array<int, 2ul> >& std::forward<std::_Rb_tree_iterator<std::array<int, 2ul> >&>(std::remove_reference<std::_Rb_tree_iterator<std::array<int, 2ul> >&>::type&)
  0.00      1.49     0.00   820125     0.00     0.00  bool& std::forward<bool&>(std::remove_reference<bool&>::type&)
  0.00      1.49     0.00   820125     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
